Sentence,Head,Relation,Tail
Their graduates were shut out of Harvard Law School for that reason,Harvard Law School,hasAdmissionPolicy,graduates
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",Notre Dame,added,colleges
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",Notre Dame,added,programs
"Notre Dame continued to grow over the years, adding more colleges, programs, and sports teams",Notre Dame,added,sports teams
"By 1921, with the addition of the College of Commerce, Notre Dame had grown from a small college to a university with five colleges and a professional law school",Notre Dame,hasCollege,College of Commerce
"By 1921, with the addition of the College of Commerce, Notre Dame had grown from a small college to a university with five colleges and a professional law school",Notre Dame,hasLawSchool,professional law school
The university continued to expand and add new residence halls and buildings with each subsequent president.,university,expanded,residence halls
The university continued to expand and add new residence halls and buildings with each subsequent president.,university,expanded,buildings
The university continued to expand and add new residence halls and buildings with each subsequent president.,president,served,university
"One of the main driving forces in the growth of the University was its football team, the Notre Dame Fighting Irish",University,hasTeam,Notre Dame Fighting Irish
Knute Rockne became head coach in 1918,Knute Rockne,became,head coach
Knute Rockne became head coach in 1918,Knute Rockne,startedIn,1918
"Under Rockne, the Irish would post a record of 105 wins, 12 losses, and five ties",Rockne,coaches,the Irish
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",Irish,won,national championships
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",Irish,had,undefeated seasons
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",Irish,won,Rose Bowl
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",Irish,produced,George Gipp
"During his 13 years the Irish won three national championships, had five undefeated seasons, won the Rose Bowl in 1925, and produced players such as George Gipp and the ""Four Horsemen""",Irish,produced,Four Horsemen
Knute Rockne has the highest winning percentage (.881) in NCAA Division I/FBS football history,Knute Rockne,hasAchievement,highest winning percentage
Knute Rockne has the highest winning percentage (.881) in NCAA Division I/FBS football history,Knute Rockne,coachesIn,NCAA Division I/FBS football
Rockne's offenses employed the Notre Dame Box and his defenses ran a 7–2–2 scheme,Rockne,employed,Notre Dame Box
Rockne's offenses employed the Notre Dame Box and his defenses ran a 7–2–2 scheme,Rockne,ran,7–2–2 scheme
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City.",Rockne,coached,Notre Dame all-stars
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City.",Rockne,coachedAgainst,New York Giants
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City.",Notre Dame all-stars,playedAgainst,New York Giants
"The last game Rockne coached was on December 14, 1930 when he led a group of Notre Dame all-stars against the New York Giants in New York City.",Notre Dame all-stars,locatedIn,New York City
