Sentence,Head,Relation,Tail
"In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon",Theodore Roosevelt,position held,President
"In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon",a major expedition through the Amazon,participant,Theodore Roosevelt
"In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon",Theodore Roosevelt,position held participant in,President major expedition
"In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon",major expedition,participant,Theodore Roosevelt
"In 1913, Zahm and former President Theodore Roosevelt embarked on a major expedition through the Amazon",major expedition through the Amazon,participant,Theodore Roosevelt
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",Zahm,built,tunnel
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",Albert Zahm,sibling,John Zahm
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",John Zahm,sibling,Albert Zahm
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",Albert Zahm,sibling,John Zahm's
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",John Zahm's,sibling,Albert Zahm
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",wind tunnel,use,aeronautical model
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",wind tunnel,use,aeronautical
"In 1882, Albert Zahm (John Zahm's brother) built an early wind tunnel used to compare lift to drag of aeronautical models",wind tunnel,part of,aeronautical model
"Around 1899, Professor Jerome Green became the first American to send a wireless message",Green,became,American
"Around 1899, Professor Jerome Green became the first American to send a wireless message",Jerome Green,country of citizenship,American
"Around 1899, Professor Jerome Green became the first American to send a wireless message",wireless message,discoverer or inventor,Jerome Green
"Around 1899, Professor Jerome Green became the first American to send a wireless message",Professor Jerome Green,country of citizenship,American
"Around 1899, Professor Jerome Green became the first American to send a wireless message",Jerome Green,field of work,wireless message
"Around 1899, Professor Jerome Green became the first American to send a wireless message",Jerome Green,notable work,wireless message
"In 1931, Father Julius Nieuwland performed early work on basic reactions that was used to create neoprene",Nieuwland,performed,work
"In 1931, Father Julius Nieuwland performed early work on basic reactions that was used to create neoprene",neoprene,discoverer or inventor,Julius Nieuwland
"In 1931, Father Julius Nieuwland performed early work on basic reactions that was used to create neoprene",Julius Nieuwland,field of work,neoprene
"In 1931, Father Julius Nieuwland performed early work on basic reactions that was used to create neoprene",Julius Nieuwland,notable work,neoprene
"In 1931, Father Julius Nieuwland performed early work on basic reactions that was used to create neoprene",Julius Nieuwland,product or material produced,neoprene
"Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nuclear Astrophysics",Study,began,with
"Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nuclear Astrophysics",Joint Institute for Nuclear Astrophysics,field of work,nuclear physics
"Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nuclear Astrophysics",Joint Institute for Nuclear Astrophysics,field of work inception,nuclear physics 1936
"Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nuclear Astrophysics",Joint Institute for Nuclear Astrophysics,field of work field of work,nuclear physics nuclear accelerator
"Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nuclear Astrophysics",nuclear accelerator,studied by,nuclear physics
"Study of nuclear physics at the university began with the building of a nuclear accelerator in 1936, and continues now partly through a partnership in the Joint Institute for Nuclear Astrophysics",Joint Institute for Nuclear Astrophysics,field of work field of work inception,nuclear physics nuclear accelerator 1936
The Lobund Institute grew out of pioneering research in germ-free-life which began in 1928,Institute,grew,out
The Lobund Institute grew out of pioneering research in germ-free-life which began in 1928,Lobund Institute,inception,1928
The Lobund Institute grew out of pioneering research in germ-free-life which began in 1928,Lobund Institute,field of work inception,germ-free-life 1928
The Lobund Institute grew out of pioneering research in germ-free-life which began in 1928,Lobund Institute,field of work,germ-free-life
The Lobund Institute grew out of pioneering research in germ-free-life which began in 1928,germ-free-life,discoverer or inventor,Lobund Institute
The Lobund Institute grew out of pioneering research in germ-free-life which began in 1928,germ-free-life,inception,1928
This area of research originated in a question posed by Pasteur as to whether animal life was possible without bacteria,area,originated,in
This area of research originated in a question posed by Pasteur as to whether animal life was possible without bacteria,Pasteur,notable work,whether animal life was possible without bacteria
This area of research originated in a question posed by Pasteur as to whether animal life was possible without bacteria,whether animal life was possible without bacteria,discoverer or inventor,Pasteur
This area of research originated in a question posed by Pasteur as to whether animal life was possible without bacteria,Pasteur,notable work,animal life was possible without bacteria
This area of research originated in a question posed by Pasteur as to whether animal life was possible without bacteria,animal life was possible without bacteria,discoverer or inventor,Pasteur
This area of research originated in a question posed by Pasteur as to whether animal life was possible without bacteria,Pasteur,field of work,animal life
This area of research originated in a question posed by Pasteur as to whether animal life was possible without bacteria,Pasteur,field of work,animal life was possible without bacteria
"Though others had taken up this idea, their research was short lived and inconclusive",research was short lived and inconclusive,subclass of,research
"Though others had taken up this idea, their research was short lived and inconclusive",research was short lived,subclass of,inconclusive
"Though others had taken up this idea, their research was short lived and inconclusive",research was short lived,instance of,inconclusive
"Lobund was the first research organization to answer definitively, that such life is possible and that it can be prolonged through generations",Lobund,was,organization
"Lobund was the first research organization to answer definitively, that such life is possible and that it can be prolonged through generations",Lobund,instance of,research organization
"Lobund was the first research organization to answer definitively, that such life is possible and that it can be prolonged through generations",life is possible,has part,generations
"Lobund was the first research organization to answer definitively, that such life is possible and that it can be prolonged through generations",generations,part of,life is possible
"Lobund was the first research organization to answer definitively, that such life is possible and that it can be prolonged through generations",generations,has part,generations
"Lobund was the first research organization to answer definitively, that such life is possible and that it can be prolonged through generations",generations,part of,generations
"Lobund was the first research organization to answer definitively, that such life is possible and that it can be prolonged through generations",can be prolonged,part of,generations
"Lobund was the first research organization to answer definitively, that such life is possible and that it can be prolonged through generations",generations,has part,can be prolonged
"Lobund was the first research organization to answer definitively, that such life is possible and that it can be prolonged through generations",research organization,field of work,research
But the objective was not merely to answer Pasteur's question but also to produce the germ free animal as a new tool for biological and medical research,biological,has part,medical research
But the objective was not merely to answer Pasteur's question but also to produce the germ free animal as a new tool for biological and medical research,medical research,part of,biological
But the objective was not merely to answer Pasteur's question but also to produce the germ free animal as a new tool for biological and medical research,biological,has part,medical
But the objective was not merely to answer Pasteur's question but also to produce the germ free animal as a new tool for biological and medical research,medical,part of,biological
But the objective was not merely to answer Pasteur's question but also to produce the germ free animal as a new tool for biological and medical research,medical research,subclass of,biological
This objective was reached and for years Lobund was a unique center for the study and production of germ free animals and for their use in biological and medical investigations,biological,has part,medical investigations
This objective was reached and for years Lobund was a unique center for the study and production of germ free animals and for their use in biological and medical investigations,medical investigations,part of,biological
This objective was reached and for years Lobund was a unique center for the study and production of germ free animals and for their use in biological and medical investigations,biological,has part,medical investigation
This objective was reached and for years Lobund was a unique center for the study and production of germ free animals and for their use in biological and medical investigations,medical investigation,part of,biological
This objective was reached and for years Lobund was a unique center for the study and production of germ free animals and for their use in biological and medical investigations,medical investigations,subclass of,biological
Today the work has spread to other universities,work,spread,to
Today the work has spread to other universities,"University of California, Berkeley",located in the administrative territorial entity,"Berkeley, California"
Today the work has spread to other universities,"Berkeley, California",different from,"University of California, Berkeley"
Today the work has spread to other universities,"Berkeley, California",has part,"University of California, Berkeley"
Today the work has spread to other universities,"University of California, Berkeley",headquarters location,"Berkeley, California"
Today the work has spread to other universities,"Berkeley, California",part of,"University of California, Berkeley"
In the beginning it was under the Department of Biology and a program leading to the master's degree accompanied the research program,it,was,under
In the beginning it was under the Department of Biology and a program leading to the master's degree accompanied the research program,master's degree,field of work,Biology
In the beginning it was under the Department of Biology and a program leading to the master's degree accompanied the research program,master's degree,subclass of,research program
In the beginning it was under the Department of Biology and a program leading to the master's degree accompanied the research program,master's degree,instance of,research program
In the beginning it was under the Department of Biology and a program leading to the master's degree accompanied the research program,master's degree,studies,Biology
In the beginning it was under the Department of Biology and a program leading to the master's degree accompanied the research program,master's degree,part of,research program
In the 1940s Lobund achieved independent status as a purely research organization and in 1950 was raised to the status of an Institute,Lobund,achieved,status
In the 1940s Lobund achieved independent status as a purely research organization and in 1950 was raised to the status of an Institute,Lobund,instance of,Institute
In the 1940s Lobund achieved independent status as a purely research organization and in 1950 was raised to the status of an Institute,Institute,subclass of,research organization
In the 1940s Lobund achieved independent status as a purely research organization and in 1950 was raised to the status of an Institute,Lobund,inception,1950
"In 1958 it was brought back into the Department of Biology as integral part of that department, but with its own program leading to the degree of PhD in Gnotobiotics",it,brought,as
"In 1958 it was brought back into the Department of Biology as integral part of that department, but with its own program leading to the degree of PhD in Gnotobiotics",PhD,instance of,degree
"In 1958 it was brought back into the Department of Biology as integral part of that department, but with its own program leading to the degree of PhD in Gnotobiotics",Department of Biology,inception,1958
"In 1958 it was brought back into the Department of Biology as integral part of that department, but with its own program leading to the degree of PhD in Gnotobiotics",Gnotobiotics,field of work,Gnotobiotics
"In 1958 it was brought back into the Department of Biology as integral part of that department, but with its own program leading to the degree of PhD in Gnotobiotics",Gnotobiotics,part of,Department of Biology
"In 1958 it was brought back into the Department of Biology as integral part of that department, but with its own program leading to the degree of PhD in Gnotobiotics",Gnotobiotics,subclass of,Biology
"The Review of Politics was founded in 1939 by Gurian, modeled after German Catholic journals",Review,founded,in
"The Review of Politics was founded in 1939 by Gurian, modeled after German Catholic journals",Review of Politics,inception,1939
"The Review of Politics was founded in 1939 by Gurian, modeled after German Catholic journals",The Review of Politics,inception,1939
"The Review of Politics was founded in 1939 by Gurian, modeled after German Catholic journals",Review of Politics,inception founded by,1939 Gurian
"The Review of Politics was founded in 1939 by Gurian, modeled after German Catholic journals",The Review of Politics,inception founded by,1939 Gurian
"The Review of Politics was founded in 1939 by Gurian, modeled after German Catholic journals",Gurian,notable work,Review of Politics
"It quickly emerged as part of an international Catholic intellectual revival, offering an alternative vision to positivist philosophy",It,emerged,as
"It quickly emerged as part of an international Catholic intellectual revival, offering an alternative vision to positivist philosophy",positivist,subclass of,philosophy
"It quickly emerged as part of an international Catholic intellectual revival, offering an alternative vision to positivist philosophy",positivist,instance of,philosophy
"It quickly emerged as part of an international Catholic intellectual revival, offering an alternative vision to positivist philosophy",positivist philosophy,facet of,Catholic
"It quickly emerged as part of an international Catholic intellectual revival, offering an alternative vision to positivist philosophy",alternative vision,opposite of,positivist philosophy
"It quickly emerged as part of an international Catholic intellectual revival, offering an alternative vision to positivist philosophy",positivist philosophy,subclass of,Catholic intellectual revival
"For 44 years, the Review was edited by Gurian, Matthew Fitzsimons, Frederick Crosson, and Thomas Stritch",The Review,editor editor editor,Matthew Fitzsimons Frederick Crosson Thomas Stritch
"For 44 years, the Review was edited by Gurian, Matthew Fitzsimons, Frederick Crosson, and Thomas Stritch",Thomas Stritch,influenced by,Matthew Fitzsimons
"For 44 years, the Review was edited by Gurian, Matthew Fitzsimons, Frederick Crosson, and Thomas Stritch",Frederick Crosson,influenced by,Matthew Fitzsimons
"For 44 years, the Review was edited by Gurian, Matthew Fitzsimons, Frederick Crosson, and Thomas Stritch",Matthew Fitzsimons,influenced by,Frederick Crosson
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",leaders,included,Gurian
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",Jacques Maritain,influenced by,Gurian
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",Frank O'Malley,influenced by,Gurian
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",Jacques Maritain,influenced by influenced by,Gurian Frank O'Malley
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",Frank O'Malley,influenced by,Jacques Maritain
"Intellectual leaders included Gurian, Jacques Maritain, Frank O'Malley, Leo Richard Ward, F",Leo Richard Ward,influenced by,Jacques Maritain
"Hermens, and John U",John U.Hermens,father,John U.Hermens
"Hermens, and John U",John U.Hermens,child,John U.Hermens
"Hermens, and John U",John U. Hermens,father,John U. Hermens
"Hermens, and John U",John U. Hermens,child,John U. Hermens
"Hermens, and John U",John U,father,John U. Hermens
"Hermens, and John U",John U. Hermens,child,John U
"Hermens, and John U",John,father,John U
"Hermens, and John U",John U,child,John
Nef,Nef,instance of,Nef
Nef,Nef,has part,Nef
Nef,Nef,family,Nef
Nef,Nef,father,Nef
Nef,Nef,country,Nigeria
"It became a major forum for political ideas and modern political concerns, especially from a Catholic and scholastic tradition",It,became,forum
"It became a major forum for political ideas and modern political concerns, especially from a Catholic and scholastic tradition",scholastic,facet of,Catholic
"It became a major forum for political ideas and modern political concerns, especially from a Catholic and scholastic tradition",scholastic tradition,facet of,Catholic
"It became a major forum for political ideas and modern political concerns, especially from a Catholic and scholastic tradition",Catholic,has part,scholastic
"It became a major forum for political ideas and modern political concerns, especially from a Catholic and scholastic tradition",scholastic,part of,Catholic
"It became a major forum for political ideas and modern political concerns, especially from a Catholic and scholastic tradition",scholastic,religion,Catholic
"It became a major forum for political ideas and modern political concerns, especially from a Catholic and scholastic tradition",scholastic,subclass of,Catholic
As of 2012[update] research continued in many fields,research,continued,in
As of 2012[update] research continued in many fields,2012,point in time,2012
As of 2012[update] research continued in many fields,As of 2012,point in time,2012
As of 2012[update] research continued in many fields,research continued in many fields,publication date,2012
As of 2012[update] research continued in many fields,2012(update),point in time,2012
As of 2012[update] research continued in many fields,research continued in many fields,point in time,2012
"The university president, John Jenkins, described his hope that Notre Dame would become ""one of the pre–eminent research institutions in the world"" in his inaugural address",president,described,hope
"The university president, John Jenkins, described his hope that Notre Dame would become ""one of the pre–eminent research institutions in the world"" in his inaugural address",John Jenkins,position held,university president
"The university president, John Jenkins, described his hope that Notre Dame would become ""one of the pre–eminent research institutions in the world"" in his inaugural address",John Jenkins,employer,Notre Dame
"The university president, John Jenkins, described his hope that Notre Dame would become ""one of the pre–eminent research institutions in the world"" in his inaugural address",John Jenkins,educated at,Notre Dame
"The university president, John Jenkins, described his hope that Notre Dame would become ""one of the pre–eminent research institutions in the world"" in his inaugural address",his inaugural address,author,John Jenkins
"The university president, John Jenkins, described his hope that Notre Dame would become ""one of the pre–eminent research institutions in the world"" in his inaugural address",John Jenkins,occupation,university president
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",university,has,institutes
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",Kellogg Institute for International Studies,has part,Kroc Institute for International Peace studies
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",Kroc Institute for International Peace studies,part of,Kellogg Institute for International Studies
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",Kellogg Institute for International Studies,subsidiary,Kroc Institute for International Peace studies
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",Kroc Institute for International Peace studies,parent organization,Kellogg Institute for International Studies
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",Medieval Institute,part of,Kellogg Institute for International Studies
"The university has many multi-disciplinary institutes devoted to research in varying fields, including the Medieval Institute, the Kellogg Institute for International Studies, the Kroc Institute for International Peace studies, and the Center for Social Concerns",Kellogg Institute for International Studies,has part,Medieval Institute
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",research,includes,work
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",United States,shares border with,China
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",China,shares border with,United States
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",trade deficit,country,United States
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",United States,diplomatic relation,China
"Recent research includes work on family conflict and child development, genome mapping, the increasing trade deficit of the United States with China, studies in fluid mechanics, computational science and engineering, and marketing trends on the Internet",China,diplomatic relation,United States
"As of 2013, the university is home to the Notre Dame Global Adaptation Index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt",university,is,home
"As of 2013, the university is home to the Notre Dame Global Adaptation Index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt",adapt,facet of,climate change
"As of 2013, the university is home to the Notre Dame Global Adaptation Index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt",climate change,has effect,adapt
"As of 2013, the university is home to the Notre Dame Global Adaptation Index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt",Notre Dame Global Adaptation Index,inception,2013
"As of 2013, the university is home to the Notre Dame Global Adaptation Index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt",Notre Dame Global Adaptation Index,main subject,climate change
"As of 2013, the university is home to the Notre Dame Global Adaptation Index which ranks countries annually based on how vulnerable they are to climate change and how prepared they are to adapt",Notre Dame Global Adaptation Index,inception main subject,2013 climate change
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M",body,consisted,of
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M",Notre Dame student body,number of participants,"12,179"
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M",Notre Dame student body,population,"12,179"
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M",Law,practiced by,professional
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M",professional,field of this occupation,Law
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M",Notre Dame student body,number of participants,"12,179 students"
"In 2014 the Notre Dame student body consisted of 12,179 students, with 8,448 undergraduates, 2,138 graduate and professional and 1,593 professional (Law, M",student body,represents,Notre Dame
", Business, M",Business,has part,M
", Business, M",M,part of,Business
", Business, M",Business,said to be the same as,M
", Business, M",M,said to be the same as,Business
", Business, M",M,instance of,Business
", Business, M",M,subclass of,Business
Ed,Ed,author,Edvard Munch
Ed,Ed,creator,Edvard Grieg
Ed,Ed,influenced by,Edvard Munch
Ed,Ed,creator,Edvard Munch
Ed,Ed,author,Edvard Grieg
) students,students,subclass of,students
) students,students,has part,students
) students,students,part of,students
) students,student,subclass of,student
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",%,are,children
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",Midwestern,country,United States
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",Midwestern,located in the administrative territorial entity,United States
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",Midwestern United States,located in the administrative territorial entity,United States
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",Midwestern United States,part of,50 states and 100 countries
"Around 21–24% of students are children of alumni, and although 37% of students come from the Midwestern United States, the student body represents all 50 states and 100 countries",Midwestern United States,instance of,50 states
As of March 2007[update] The Princeton Review ranked the school as the fifth highest 'dream school' for parents to send their children,Review,ranked,school
As of March 2007[update] The Princeton Review ranked the school as the fifth highest 'dream school' for parents to send their children,fifth highest 'dream school',conferred by,The Princeton Review
As of March 2007[update] The Princeton Review ranked the school as the fifth highest 'dream school' for parents to send their children,fifth highest 'dream school',conferred by,Princeton Review
As of March 2007[update] The Princeton Review ranked the school as the fifth highest 'dream school' for parents to send their children,fifth highest 'dream school' for parents,conferred by,The Princeton Review
As of March 2007[update] The Princeton Review ranked the school as the fifth highest 'dream school' for parents to send their children,fifth highest 'dream school',published in,The Princeton Review
As of March 2007[update] The Princeton Review ranked the school as the fifth highest 'dream school' for parents to send their children,fifth highest 'dream school',publisher,The Princeton Review
As of March 2015[update] The Princeton Review ranked Notre Dame as the ninth highest,Review,ranked,Dame
As of March 2015[update] The Princeton Review ranked Notre Dame as the ninth highest,ninth highest,conferred by,The Princeton Review
As of March 2015[update] The Princeton Review ranked Notre Dame as the ninth highest,Notre Dame,ranking,ninth highest
As of March 2015[update] The Princeton Review ranked Notre Dame as the ninth highest,ninth highest,publisher,The Princeton Review
As of March 2015[update] The Princeton Review ranked Notre Dame as the ninth highest,ninth highest,conferred by,Princeton Review
As of March 2015[update] The Princeton Review ranked Notre Dame as the ninth highest,ninth highest,publisher,Princeton Review
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative",school,criticized,for
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative",Alternative Lifestyles,published in,The Princeton Review
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative",Alternative Lifestyles [are] Not an Alternative,published in,The Princeton Review
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative",Alternative Lifestyles,published in,Princeton Review
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative",The Princeton Review,main subject,Alternative Lifestyles
"The school has been previously criticized for its lack of diversity, and The Princeton Review ranks the university highly among schools at which ""Alternative Lifestyles [are] Not an Alternative",Alternative Lifestyles [are] Not an Alternative,published in,Princeton Review
""" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",Magazine,ranked,university
""" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",The Journal of Blacks in Higher Education,main subject,African-American
""" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",Journal of Blacks in Higher Education,main subject,African-American
""" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",The Journal of Blacks in Higher Education,main subject,African-American students
""" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",The Journal of Blacks in Higher Education,main subject,diversity oriented publications
""" It has also been commended by some diversity oriented publications; Hispanic Magazine in 2004 ranked the university ninth on its list of the top–25 colleges for Latinos, and The Journal of Blacks in Higher Education recognized the university in 2006 for raising enrollment of African-American students",Journal of Blacks in Higher Education,main subject,African-American students
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports",program,named,in
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports",2004,point in time,2004
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports",Sports Illustrated,field of work,intramural sports
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports",The Princeton Review,named after,The university's
"With 6,000 participants, the university's intramural sports program was named in 2004 by Sports Illustrated as the best program in the country, while in 2007 The Princeton Review named it as the top school where ""Everyone Plays Intramural Sports",Sports Illustrated,has part,The Princeton Review
""" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh",tournament,is,tournament
""" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh",Holy Cross Missions,country,Bangladesh
""" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh",Bengal Bouts,country,Bangladesh
""" The annual Bookstore Basketball tournament is the largest outdoor five-on-five tournament in the world with over 700 teams participating each year, while the Notre Dame Men's Boxing Club hosts the annual Bengal Bouts tournament that raises money for the Holy Cross Missions in Bangladesh",Notre Dame Men's Boxing Club,country,Bangladesh
About 80% of undergraduates and 20% of graduate students live on campus,%,live,on
About 80% of undergraduates and 20% of graduate students live on campus,undergraduates,followed by,graduate students
About 80% of undergraduates and 20% of graduate students live on campus,undergraduate,followed by,graduate student
About 80% of undergraduates and 20% of graduate students live on campus,undergraduate,followed by,graduate
About 80% of undergraduates and 20% of graduate students live on campus,undergraduate,followed by,graduate students
About 80% of undergraduates and 20% of graduate students live on campus,graduate students,opposite of,undergraduates
"The majority of the graduate students on campus live in one of four graduate housing complexes on campus, while all on-campus undergraduates live in one of the 29 residence halls",majority,live,in
"The majority of the graduate students on campus live in one of four graduate housing complexes on campus, while all on-campus undergraduates live in one of the 29 residence halls",graduate,opposite of,undergraduate
"The majority of the graduate students on campus live in one of four graduate housing complexes on campus, while all on-campus undergraduates live in one of the 29 residence halls",undergraduate,opposite of,graduate
"The majority of the graduate students on campus live in one of four graduate housing complexes on campus, while all on-campus undergraduates live in one of the 29 residence halls",graduate,opposite of,undergraduates
"The majority of the graduate students on campus live in one of four graduate housing complexes on campus, while all on-campus undergraduates live in one of the 29 residence halls",undergraduates,opposite of,graduate
"The majority of the graduate students on campus live in one of four graduate housing complexes on campus, while all on-campus undergraduates live in one of the 29 residence halls",graduate housing complexes,subclass of,residence halls
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",halls,are,sex
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",male dorms,opposite of,female dorms
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",female dorms,opposite of,male dorms
"Because of the religious affiliation of the university, all residence halls are single-sex, with 15 male dorms and 14 female dorms",male dorm,opposite of,female dorm
